title,price,tourist,dianping,percent,subtitle
<华东五市-乌镇-苏州园林-西湖双飞6日游>泡温泉，品秋蟹，全程5星，网红拈花湾客栈，乌镇边温泉酒店，不限次泡泉，西栅拈花湾双夜游，接送全含,2825,1466,406人,97,长沙出发机票可选| 上海成团| 上海进出 纯玩0购物 乌镇西塘南浔 拈花湾夜景 特色客栈 西湖 
<上海迪士尼乐园-苏杭-乌镇双飞5日游>四星优选，纯玩0购物，乌镇西塘双水乡，赏西塘夜景，逛苏州园林，乘乌篷船游鲁迅故里，亲子乐嗨迪士尼,2261,4795,1246人,96,长沙出发| 上海成团| 上进杭出 苏州园林 乌镇西栅 西塘古镇 
<西塘休闲2日游>宿西塘特色客栈，如诗如画古镇风韵，一杯酒一盏茶，赏如梦似幻西塘夜景，含门票0购物报名即享汉服体验馆免费穿汉服游西塘及酒吧券,282,459,113人,98,南京成团| 江南水乡 观赏夜景 门票全含 
<西塘-乌镇巴士2日游>金鼠庆新春，深度纯玩，双水乡古镇日夜全景新玩法，住乌镇自营酒店，含1早1晚，可多次入园，享乌镇年夜饭,496,862,140人,95,上海成团| 不赶早 观乌镇之夜景 纯玩无购物 小华东线 千年古镇 轻松惬意 
<杭州-乌镇2日游>深度纯玩，宿乌镇直营客栈（含1早1正），可多次入园，赏西栅日夜全景，船游西湖，自由进出西栅,395,469,93人,97,上海成团| 夜游西栅 船游西湖 无强制消费 小华东线 一车到底 含1早1正 
<嘉兴乌镇+东栅+西栅+西栅夜景1日游>纯玩无购物、杭州出发、出发晚、车程短、畅玩近8小时、真正看夜景、观全景、行程透明、导游讲解,317,362,62人,97,杭州成团| 杭州出发 纯玩无购物 看醉美夜景 出发晚 自由时间长 
[春节]<华东六市+扬州+乌镇双飞6日游>一价全含,18人团丨9大5A景点+高档酒店丨富春品早茶丨赠宋城千古情+上海夜景丨含6正餐丨3Plus（水乡/夜景/湖泊）,2667,9516,2822人,97,长沙出发机票可选| 南京成团| 宋城千古情表演 环球金融中心 扬州早茶 0购物0自费 欢乐爸妈游
<南京-拈花湾-灵山大佛-乌镇-杭州双飞4日游>纯玩0购物，五星酒店，夜枕乌镇，网红拈花湾客栈，享50特色高餐，赠双游船,1932,1240,343人,98,长沙出发机票可选| 南京成团| 南京进杭州出 0购物0自费 五星酒店 乌镇西栅 禅意拈花湾 西湖
<上海+苏州+杭州+无锡+南京+乌镇双飞6日游>专享乌镇年夜饭，纯玩0购,品牌4星升2晚5星,夜宿乌镇拈花湾客栈,登雷锋赏西湖全景,2243,1505,400人,97,长沙出发机票可选| 上海成团| 纯玩0购物 深度南北西湖 乌镇西栅夜游 灵山大佛 品牌酒店 接送全含 
<华东六市+乌镇双飞6日游>宁进沪出，深度360全景，好玩不累6大5A景区，乌镇+盘门+周庄三水乡，南山竹海，鼋头渚游太湖，三大特色餐,1840,785,279人,98,长沙出发机票可选| 南京成团| 南京进上海出 游江南三水乡 江南特色餐 赏古镇夜景 免费接送 
<浙江嘉兴西塘-乌镇2日游>深度漫游，宿景区内枕水度假酒店，含丰富早餐，赏西栅日夜全景，可自由出入景区，双水乡古镇,695,1022,170人,94,上海成团| 宿景区内酒店 360度乌镇 枕水人家 千年古镇 夜游西栅 
<上海+苏州+杭州+乌镇交通自选4日游>10人VIP小团丨超优导游丨全程五星（乌镇1晚客栈）丨逛留园+周庄船游环镇+西湖登小瀛洲丨50高标美食丨30空座率,2191,55,19人,100,杭州成团| 杭进沪出 纯玩0购物 苏州留园  50高餐标
